match_id,blue_team_full_name,red_team_full_name,win,start_time,gamelength,game,league,year
ESPORTSTMNT02_3045503,Top Esports,GAM Esports,blue,2022-10-09 01:10:59+08,1491,1,WLDs,2022
ESPORTSTMNT02_3045518,Dplus KIA,JD Gaming,red,2022-10-09 02:01:41+08,2213,1,WLDs,2022
ESPORTSTMNT02_3045836,GAM Esports,Rogue,red,2022-10-09 20:19:14+08,2259,1,WLDs,2022
ESPORTSTMNT02_3045853,100 Thieves,Gen.G,red,2022-10-09 21:52:47+08,1769,1,WLDs,2022
ESPORTSTMNT02_3045864,EDward Gaming,Fnatic,blue,2022-10-09 22:48:56+08,2201,1,WLDs,2022
ESPORTSTMNT02_3045877,Cloud9,T1,red,2022-10-09 23:50:51+08,1500,1,WLDs,2022
ESPORTSTMNT02_3056381,Royal Never Give Up,CTBC Flying Oyster,blue,2022-10-10 00:53:06+08,1764,1,WLDs,2022
ESPORTSTMNT02_3056394,DRX,Top Esports,blue,2022-10-10 01:52:15+08,1805,1,WLDs,2022
ESPORTSTMNT02_3056626,JD Gaming,G2 Esports,blue,2022-10-10 20:15:49+08,2080,1,WLDs,2022
ESPORTSTMNT02_3056652,Rogue,Top Esports,blue,2022-10-10 21:48:07+08,2017,1,WLDs,2022
ESPORTSTMNT02_3056673,Dplus KIA,Evil Geniuses,blue,2022-10-10 22:48:46+08,1768,1,WLDs,2022
ESPORTSTMNT02_3056681,100 Thieves,Royal Never Give Up,red,2022-10-10 23:45:27+08,1616,1,WLDs,2022
ESPORTSTMNT02_3056705,Gen.G,CTBC Flying Oyster,blue,2022-10-11 00:37:16+08,2360,1,WLDs,2022
ESPORTSTMNT02_3056721,GAM Esports,DRX,red,2022-10-11 01:41:36+08,1406,1,WLDs,2022
ESPORTSTMNT02_3057453,Fnatic,Cloud9,red,2022-10-13 17:58:07+08,1669,1,WLDs,2022
ESPORTSTMNT02_3057478,T1,Fnatic,blue,2022-10-13 19:42:53+08,1746,1,WLDs,2022
ESPORTSTMNT02_3057490,Cloud9,EDward Gaming,red,2022-10-13 20:36:49+08,1567,1,WLDs,2022
ESPORTSTMNT02_3057502,Fnatic,EDward Gaming,red,2022-10-13 21:36:09+08,1781,1,WLDs,2022
ESPORTSTMNT02_3057505,T1,Cloud9,blue,2022-10-13 22:31:25+08,1399,1,WLDs,2022
ESPORTSTMNT02_3057516,EDward Gaming,T1,red,2022-10-13 23:18:57+08,1694,1,WLDs,2022
ESPORTSTMNT02_3057653,G2 Esports,Evil Geniuses,red,2022-10-14 17:55:58+08,1950,1,WLDs,2022
ESPORTSTMNT02_3057673,Evil Geniuses,JD Gaming,red,2022-10-14 19:47:51+08,1504,1,WLDs,2022
ESPORTSTMNT02_3057686,Dplus KIA,G2 Esports,blue,2022-10-14 20:37:27+08,1523,1,WLDs,2022
ESPORTSTMNT02_3057715,G2 Esports,JD Gaming,red,2022-10-14 21:35:13+08,1692,1,WLDs,2022
ESPORTSTMNT02_3057724,Evil Geniuses,Dplus KIA,red,2022-10-14 22:26:58+08,1687,1,WLDs,2022
ESPORTSTMNT02_3057747,JD Gaming,Dplus KIA,red,2022-10-14 23:36:01+08,1751,1,WLDs,2022
ESPORTSTMNT02_3047499,JD Gaming,Dplus KIA,blue,2022-10-15 00:34:28+08,2043,1,WLDs,2022
ESPORTSTMNT02_3057859,Rogue,GAM Esports,blue,2022-10-15 17:46:11+08,1842,1,WLDs,2022
ESPORTSTMNT02_3057882,GAM Esports,Top Esports,blue,2022-10-15 19:45:39+08,2491,1,WLDs,2022
ESPORTSTMNT02_3057894,DRX,Rogue,blue,2022-10-15 20:50:05+08,1815,1,WLDs,2022
